,Date,HA,Opponent,Team,link,pa,pf,week,game_id,Abbreviation
21,09/08/2018,H,Southern Utah,Oregon St.,/game/football/fbs/2018/09/08/southern-utah-oregon-st,25,48,02,02Oregon St.,ORS
22,09/08/2018,A,BYU,California,/game/football/fbs/2018/09/08/california-byu,18,21,02,02California,CAL
23,09/08/2018,H,San Jose St.,Washington St.,/game/football/fbs/2018/09/08/san-jose-st-washington-st,0,31,02,02Washington St.,WST
24,09/15/2018,H,UC Davis,Stanford,/game/football/fbs/2018/09/15/uc-davis-stanford,10,30,03,03Stanford,STA
25,09/15/2018,H,Washington,Utah,/game/football/fbs/2018/09/15/washington-utah,21,7,03,03Utah,UTH
26,09/15/2018,A,Utah,Washington,/game/football/fbs/2018/09/15/washington-utah,7,21,03,03Washington,WAS
27,09/15/2018,H,San Jose St.,Oregon,/game/football/fbs/2018/09/15/san-jose-st-oregon,22,35,03,03Oregon,ORE
28,09/15/2018,A,Texas,Southern California,/game/football/fbs/2018/09/15/southern-california-texas,37,14,03,03Southern California,USC
29,09/15/2018,A,San Diego St.,Arizona St.,/game/football/fbs/2018/09/15/arizona-st-san-diego-st,28,21,03,03Arizona St.,ASU
30,09/15/2018,H,New Hampshire,Colorado,/game/football/fbs/2018/09/15/new-hampshire-colorado,14,45,03,03Colorado,COL
31,09/15/2018,H,Idaho St.,California,/game/football/fbs/2018/09/15/idaho-st-california,23,45,03,03California,CAL
32,09/15/2018,A,Nevada,Oregon St.,/game/football/fbs/2018/09/15/oregon-st-nevada,37,35,03,03Oregon St.,ORS
33,09/15/2018,H,Eastern Wash.,Washington St.,/game/football/fbs/2018/09/15/eastern-wash-washington-st,24,59,03,03Washington St.,WST
34,09/15/2018,H,Fresno St.,UCLA,/game/football/fbs/2018/09/15/fresno-st-ucla,38,14,03,03UCLA,UCLA
35,09/15/2018,H,Southern Utah,Arizona,/game/football/fbs/2018/09/15/southern-utah-arizona,31,62,03,03Arizona,ARI
36,09/21/2018,H,Washington St.,Southern California,/game/football/fbs/2018/09/21/washington-st-southern-california,36,39,04,04Southern California,USC
